Genius,KenPom,HDI,HDIW,Conf,URL,URLW
RIT,,RIT,RITW,,https://ritathletics.com/sports/mens-basketball/roster/{season_42},https://ritathletics.com/sports/womens-basketball/roster/{season_42}
Rivier,,RVR,RVRW,,https://rivierathletics.com/sports/mens-basketball/roster/{season_42},https://rivierathletics.com/sports/womens-basketball/roster/{season_42}
Roanoke,,RNK,RNKW,,https://roanokemaroons.com/sports/mens-basketball/roster/{season_42},https://roanokemaroons.com/sports/womens-basketball/roster/{season_42}
Rochester (NY),,RNY,RNYW,,https://uofrathletics.com/sports/mens-basketball/roster/{season_42},https://uofrathletics.com/sports/womens-basketball/roster/{season_42}
Rockford,,RKF,RKFW,,https://rockfordregents.com/sports/mens-basketball/roster/{season_42},https://rockfordregents.com/sports/womens-basketball/roster/{season_42}
Roger Williams,,RGW,RGWW,,https://rwuhawks.com/sports/mens-basketball/roster/{season_42},https://rwuhawks.com/sports/womens-basketball/roster/{season_42}
Rose-Hulman,,RSH,RSHW,,https://athletics.rose-hulman.edu/sports/mens-basketball/roster/{season_42},https://athletics.rose-hulman.edu/sports/womens-basketball/roster/{season_42}
Rosemont,,RMT,RMTW,,https://rosemont-ravens.com/sports/mens-basketball/roster/{season_44},
Rowan,,RWN,RWNW,,https://www.rowanathletics.com/sports/mens-basketball/roster/{season_42},https://www.rowanathletics.com/sports/womens-basketball/roster/{season_42}
Russell Sage,,RSG,RSGW,,https://www.sagegators.com/sports/mbkb/{season_42}/roster,https://www.sagegators.com/sports/wbkb/{season_42}/roster
Rutgers-Camden,,RGC,RGCW,,https://scarletraptors.com/sports/mens-basketball/roster/{season_42},https://scarletraptors.com/sports/womens-basketball/roster/{season_42}
Rutgers-Newark,,RGN,RGNW,,https://rutgersnewarkathletics.com/sports/mens-basketball/roster/{season_42},https://rutgersnewarkathletics.com/sports/womens-basketball/roster/{season_42}
S'western Assemblies,,SWA,SWAW,,https://nelsonlions.com/sports/mens-basketball/roster/{season_42},https://nelsonlions.com/sports/womens-basketball/roster/{season_42}
Saint Elizabeth,,SEZ,SEZW,,https://seueagles.com/sports/mens-basketball/roster/{season_42},https://seueagles.com/sports/womens-basketball/roster/{season_42}
Saint John's (MN),,SJM,SJMW,,https://gojohnnies.com/sports/mens-basketball/roster/{season_44},https://gojohnnies.com/sports/womens-basketball/roster/{season_44}
Saint Joseph (CT),,SJC,SJCW,,https://www.usjbluejays.com/sports/mbkb/{season_42}/roster,https://www.usjbluejays.com/sports/wbkb/{season_42}/roster
Saint Mary's (MN),,SMN,SMNW,,https://saintmaryssports.com/sports/mens-basketball/roster/{season_44},https://saintmaryssports.com/sports/womens-basketball/roster/{season_44}
Saint Vincent,,SAV,SAVW,,https://athletics.stvincent.edu/sports/mens-basketball/roster/{season_42},https://athletics.stvincent.edu/sports/womens-basketball/roster/{season_42}
Salem St.,,SLM,SLMW,,https://salemstatevikings.com/sports/mbkb/{season_42}/roster,https://salemstatevikings.com/sports/wbkb/{season_42}/roster
Salisbury,,SLB,SLBW,,https://suseagulls.com/sports/mens-basketball/roster/{season_42},https://suseagulls.com/sports/womens-basketball/roster/{season_42}
Salve Regina,,SVR,SVRW,,https://salveathletics.com/sports/mens-basketball/roster/{season_42},https://salveathletics.com/sports/womens-basketball/roster/{season_42}
Sarah Lawrence,,SRL,SRLW,,https://gogryphons.com/sports/mens-basketball/roster/{season_42},https://gogryphons.com/sports/womens-basketball/roster/{season_42}
Schreiner,,SCH,SCHW,,https://schreinermountaineers.com/sports/mbkb/{season_42}/roster,https://schreinermountaineers.com/sports/wbkb/{season_42}/roster
Scranton,,STN,STNW,,https://athletics.scranton.edu/sports/mens-basketball/roster/{season_42},https://athletics.scranton.edu/sports/womens-basketball/roster/{season_42}
Sewanee,,SEW,SEWW,,https://sewaneetigers.com/sports/mens-basketball/roster/{season_42},https://sewaneetigers.com/sports/womens-basketball/roster/{season_42}
Shenandoah,,SHE,SHEW,,https://suhornets.com/sports/mens-basketball/roster/{season_42},https://suhornets.com/sports/womens-basketball/roster/{season_42}
