Genius,KenPom,HDI,HDIW,Conf,URL,URLW
Yeshiva,,YSH,YSHW,,https://yumacs.com/sports/mens-basketball/roster/{season_42},https://yumacs.com/sports/womens-basketball/roster/{season_42}
York (NY),,YRK,YRKW,,https://yorkathletics.com/sports/mens-basketball/roster/{season_42},https://yorkathletics.com/sports/womens-basketball/roster/{season_42}
York (PA),,YPA,YPAW,,https://ycpspartans.com/sports/mens-basketball/roster/{season_42},https://ycpspartans.com/sports/womens-basketball/roster/{season_42}
Trinity Washington,,TWU,TWUW,,,
AS Monaco,,ASM,,,https://www.euroleaguebasketball.net/euroleague/teams/as-monaco/roster/mco/?season={season_42},
Baskonia,,BSK,,,https://www.euroleaguebasketball.net/euroleague/teams/kosner-baskonia-vitoria-gasteiz/roster/bas/?season={season_42},
Crvena zvezda Meridianbet,,CZM,,,https://www.euroleaguebasketball.net/euroleague/teams/crvena-zvezda-meridianbet-belgrade/roster/red/?season={season_42},
FC Barcelona,,FCB,,,https://www.euroleaguebasketball.net/euroleague/teams/fc-barcelona/roster/bar/?season={season_42},
Olympiacos Piraeus,,OPR,,,https://www.euroleaguebasketball.net/euroleague/teams/olympiacos-piraeus/roster/oly/?season={season_42},
Panathinaikos,,PAT,,,https://www.euroleaguebasketball.net/euroleague/teams/panathinaikos-aktor-athens/roster/pan/?season={season_42},
Real Madrid,,RMA,,,https://www.euroleaguebasketball.net/euroleague/teams/real-madrid/roster/mad/?season={season_42},
Virtus Segafredo Bologna,,VSB,,,https://www.euroleaguebasketball.net/euroleague/teams/virtus-bologna/roster/vir/?season={season_42},
